SMILES	RT
C(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)O	22.28280968
C1=CC=C2C(=C1)C(=CN2)CCN	79.51764803
C1=CN(C(=O)N=C1N)C2C3C(C(O2)CO)OP(=O)(O3)O	120.8800964
C1=CN(C(=O)N=C1N)C2C(C(C(O2)COP(=O)(O)O)O)O	148.7638331
C1CC(C(=O)C=C1)(C2=CC=CC=C2Cl)N	13.68894814
CCCCCCCCCCCCCCCCC(=O)N[C@@H](COP(=O)([O-])OCC[N+](C)(C)C)[C@@H](/C=C/CCCCCCCCCCCCC)O	76.85899694
CCCCCCCCCCCCCCCCC(=O)O[C@H](COC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC)COP(=O)([O-])OCC[N+](C)(C)C	36.40171961
C1=CC(=CC=C1C(=O)O)OS(=O)(=O)O	34.37177634
CCCCC/C=C\CCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCC/C=C\C/C=C\CCCCC	40.03567736
CCC(C)C(C(=O)NC(CCCN=C(N)N)C(=O)O)NC(=O)C(C)N	130.8970925
C(CCN)CC(C(=O)NC(CO)C(=O)O)N	148.4554128
CN1C=NC=C1CC(C(=O)O)N	138.5989787
C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)CO)O)O)N	60.76643872
CCCCCC(C=CC1C(CC(=O)C1CC=CCCCC(=O)O)O)O	17.57755349
C(C(C(=O)O)N)SSCC(C(=O)O)N	149.3878568
CC(=O)NCCCC(=O)O	26.65301303
C(C(C(C(=O)O)O)C(=O)O)C(=O)O	126.6044601
CCCCCCC=CCCCCCCCCC(=O)OCC(O)COP(=O)(O)OCC(O)CO	92.97481662
C1=CC(=C(C(=C1)O)C(=O)O)O	14.35123636
CC(C(C(=O)O)NC(=O)C1CCCN1)O	119.5982322
C1C(C(C(OC1(C(=O)O)O)C(C(CO)O)O)NC(=O)CO)O	136.823994
CC(=O)C(=O)O	151.6211439
CCC(C)C(C(=O)NC(C(C)CC)C(=O)NC(CCCCN)C(=O)O)N	121.4329098
CC(=O)NC(CCCNC(=O)N)C(=O)O	112.5130083
CC(C)(CO)C(C(=O)NCCS(=O)(=O)O)O	98.83348722
CCCCCCCCCCCCCCCC(=O)OC[C@H](CO[P+](O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCC=O	69.90456328
CN1CCC2=CC3=C(C=C2C(=O)CC4=C(C1)C(=C(C=C4)OC)OC)OCO3	26.6539195
C1=C(NC=N1)CC(C(=O)NC(CO)C(=O)O)N	145.3123278
CC1=C2C=CC(=C(C2=C[N+]3=C1C4=CC(=C(C=C4CC3)OC)OC)OC)OC	22.51129627
C[C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)O[C@H]2CC[C@@]3(C4CC[C@@]5([C@H]([C@@H](CC5C4CC=C3C2)O[C@H]6[C@@H]([C@H]([C@@H]([C@H](O6)CO[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)CO[C@H]8[C@@H]([C@H]([C@@H]([C@H](O8)CO)O)O)O)O)O)O[C@H]9[C@@H]([C@H]([C@@H]([C@H](O9)CO)O)O)O)O)O)O)C(=O)C)C)C)O)OC)O	150.11854
CCCCCCCCCCCCCCC=COCC(COP(=O)([O-])OCC[N+](C)(C)C)O	79.34096343
C1CC(NC1)C(=O)NCC(=O)O	121.5411572
C(C(C(C=O)O)O)O	85.56317397
CN1C=NC2=C1C(=O)NC(=N2)N	72.91083915
